id,asset_id,status,common_name,genus,species,variety,species_code,dbh,dbh_range,age,canopy,canopy_m,health,height,height_m,legal,risk,riskid,structure,ule,vigour,circumference,overhead_cables,base_material,park_tree,private_tree,geom,lng,lat,approx_address,suburb,significant_tree,tpz,srz,removed_reason,removed_notes,GlobalID
4658155,153853,Tree,Date Palm,Phoenix,dactylifera,None,0,74,> 60cm,Mature,5-10m,0,Good,10-20m,0,None,Low,1,Good,> 20 years,High Vigour,2-3m,,,1,0,0101000020E6100000A2F14410275361402D7FD7CA787441C0,138.598518500000011,-34.90993629,Park 29 - Tantutitingga - Park Tree - Pinus Canariensis,North Adelaide,No,8.880000000000001,3.040000000000000,None,None,{E9DD7128-B166-435F-A7C8-AB5ED48C872B}
4658180,153882,Tree,Coral Tree,Erythrina,sykesii,None,0,89,> 60cm,Mature,10-20m,0,Good,10-20m,0,None,Low,1,Average,10-20 years,High Vigour,2-3m,,,1,0,0101000020E6100000B451425531536140977F80F7867441C0,138.599772099999996,-34.91036886,Park 29 - Tantutitingga - Park Tree - Erythrina Sp.,North Adelaide,No,10.680000000000000,3.280000000000000,None,None,{1B70EF1E-F1DC-404C-81FA-48105E3AE6EE}
4658181,153883,Tree,Almond,Prunus,dulcis,None,0,37,30-45cm,Mature,5-10m,0,Average,<5m,0,None,Low,1,Fair,10-20 years,Medium Vigour,1-2m,,,1,0,0101000020E61000006D8BD761315361406C90AC70897441C0,138.599778100000009,-34.91044434,Park 29 - Tantutitingga - Park Tree - Prunus Amygdalus,North Adelaide,No,4.440000000000000,2.270000000000000,None,None,{4114C976-25F0-425F-8F51-68CAA28E7A92}
4658214,153919,Tree,Pagoda Tree,Sophora,japonica,None,0,42,30-45cm,Mature,5-10m,0,Average,5-10m,0,None,Low,1,Fair,10-20 years,High Vigour,1-2m,,,1,0,0101000020E61000003169213B2E53614055713ED0657441C0,138.599393429999992,-34.9093571,Park 29 - Tantutitingga - Park Tree - Schotia Japonica 'Sophora Japonica',North Adelaide,No,5.040000000000000,2.390000000000000,None,None,{A8075B58-FAF6-41C0-89F3-E061FF873713}
4658216,153922,Tree,Carob Tree,Ceratonia,siliqua,None,0,100,> 60cm,Mature,10-20m,0,Good,5-10m,0,None,Low,1,Average,10-20 years,High Vigour,Above 3m,,,1,0,0101000020E61000003A6C6CC03153614032ACC17F637441C0,138.599823200000003,-34.90928647,Park 29 - Tantutitingga - Park Tree - Ceratonia Siliqua,North Adelaide,No,12.000000000000000,3.440000000000000,None,None,{31853496-A8EE-4E3B-867E-7C9580582C23}
4658224,153931,Tree,Sweet Pittosporum,Pittosporum,undulatum,None,0,60,> 60cm,Mature,5-10m,0,Average,5-10m,0,None,Low,1,Fair,10-20 years,High Vigour,1-2m,,,1,0,0101000020E610000063D17476325361402173865E567441C0,138.599909999999994,-34.90888578,Park 29 - Tantutitingga - Park Tree - Piittosporum Undulatum,North Adelaide,No,7.200000000000000,2.780000000000000,None,None,{7844CC51-69F1-4F42-9968-24B6D6B05514}
4658226,153932,Tree,Fiddlewood,Citharexylum,spinosum,None,0,31,30-45cm,Semi Mature,5-10m,0,Average,5-10m,0,None,Low,1,Good,10-20 years,High Vigour,1-2m,,,1,0,0101000020E6100000416F9EA834536140024E6BAA597441C0,138.600178059999990,-34.90898638,Park 29 - Tantutitingga - Park Tree - Citharexylem Spinosums,North Adelaide,No,3.720000000000000,2.110000000000000,None,None,{0BAB6D75-163F-4654-8CFB-4AFB1E2C26F3}
4658229,153936,Tree,Brazilian Sky Flower,Duranta,erecta,None,0,24,15-30cm,Mature,5-10m,0,Average,<5m,0,None,Low,1,Average,10-20 years,Low Vigour,Less than 1m,,,1,0,0101000020E6100000BBDCBB613653614082591D10537441C0,138.600388400000014,-34.90878488,Park 29 - Tantutitingga - Park Tree - Duranta Erecta,North Adelaide,No,2.880000000000000,1.890000000000000,None,None,{BE5BBBE9-5959-4EAC-8502-9060CCE9728F}
4658245,153961,Tree,Weeping Myall,Acacia,pendula,None,0,21,None,Juvenile,10-20m,0,Good,10-20m,10,None,None,0,Good,None,Medium Vigour,Less than 1m,,,1,0,0101000020E6100000C2514DA4CF52614080EA27B5FA7741C0,138.587846899999988,-34.93733849,Park 22 - Wikaparntu Wirra -Park Tree - Acacia pendula,Adelaide,No,2.520000000000000,1.790000000000000,None,None,{C45DD064-D073-444F-9F9D-F844DBB3F05F}
4658252,153970,Tree,Dragon Tree,Dracaena,draco,None,0,75,> 60cm,Mature,5-10m,0,Dead,<5m,5,None,Low,1,Average,< 5 years,High Vigour,2-3m,,,1,0,0101000020E61000009FC14B15F1536140636C951ED57641C0,138.623179099999987,-34.92837889,Park 16 - Pakapakanthi -Park Tree - Dracaena draco,Adelaide,No,9.000000000000000,3.050000000000000,None,None,{476813CF-906B-4052-A049-EA2FE9A78918}
